Price,Close,High,Low,Open,Volume
Ticker,035720.KS,035720.KS,035720.KS,035720.KS,035720.KS
Date,,,,,
2025-06-20,66600.0,67200.0,58600.0,60100.0,16754279
2025-06-23,67600.0,68900.0,65600.0,67000.0,12708128
2025-06-24,70400.0,71600.0,66000.0,68100.0,12083420
2025-06-25,69400.0,70700.0,67200.0,69400.0,6399440
2025-06-26,63100.0,67600.0,61100.0,67500.0,12516562
2025-06-27,60900.0,63500.0,58900.0,63000.0,7751588
2025-06-30,60000.0,62000.0,59500.0,61200.0,4067265
2025-07-01,60100.0,63400.0,59300.0,59900.0,4862065
2025-07-02,58700.0,61300.0,58100.0,61000.0,2974555
2025-07-03,59500.0,61400.0,58800.0,59200.0,3330017
2025-07-04,58400.0,60400.0,58300.0,60000.0,2125150
2025-07-07,60100.0,61000.0,57500.0,57600.0,3213170
2025-07-08,60800.0,61600.0,59900.0,61400.0,2354516
2025-07-09,60500.0,61000.0,59500.0,60700.0,2152533
2025-07-10,60800.0,61800.0,59700.0,61000.0,3149990
2025-07-11,60000.0,62000.0,59900.0,62000.0,2465478
2025-07-14,58300.0,59600.0,56500.0,59500.0,3469359
2025-07-15,57200.0,58000.0,56300.0,57400.0,2979693
2025-07-16,56100.0,57600.0,56000.0,56900.0,1844953
2025-07-17,57500.0,59100.0,57000.0,57500.0,3318001
2025-07-18,56900.0,57800.0,56100.0,57700.0,1334076
2025-07-21,56900.0,57400.0,56400.0,56700.0,1111739
2025-07-22,56500.0,57100.0,56100.0,57100.0,1274106
2025-07-23,55000.0,56900.0,54100.0,56700.0,1861734
2025-07-24,54100.0,55900.0,53500.0,55500.0,1968455
2025-07-25,55800.0,55900.0,53700.0,54000.0,1822409
2025-07-28,55900.0,57200.0,55400.0,56800.0,1437014
2025-07-29,56000.0,56600.0,55300.0,56300.0,1272773
2025-07-30,56300.0,58800.0,56000.0,56300.0,3314430
2025-07-31,58000.0,58300.0,55800.0,56500.0,2062382
2025-08-01,55500.0,57500.0,55300.0,57200.0,2256317
2025-08-04,55400.0,59400.0,54700.0,55000.0,8113567
2025-08-05,54700.0,55900.0,53300.0,55800.0,4343070
2025-08-06,56800.0,57200.0,54100.0,55400.0,3966137
2025-08-07,63600.0,63600.0,57400.0,57900.0,11910000
2025-08-08,63800.0,65300.0,61700.0,62500.0,7219790
2025-08-11,64200.0,65700.0,63500.0,64200.0,4002999
2025-08-12,63700.0,64700.0,62700.0,63800.0,2620057
2025-08-13,63500.0,64800.0,62100.0,64600.0,2791808
2025-08-14,64400.0,65200.0,63000.0,63000.0,3339635
2025-08-18,65000.0,65500.0,64000.0,64800.0,1926649
2025-08-19,65200.0,66600.0,63700.0,65500.0,2712501
2025-08-20,65300.0,65700.0,62300.0,63800.0,3436218
2025-08-21,64000.0,67800.0,62900.0,65900.0,4221004
2025-08-22,63600.0,64700.0,63100.0,63400.0,2234317
2025-08-25,64700.0,64900.0,63500.0,64100.0,1853582
2025-08-26,65000.0,65800.0,64000.0,64100.0,2393834
2025-08-27,64100.0,65500.0,63600.0,65500.0,1845944
2025-08-28,63500.0,64300.0,62800.0,63800.0,1229932
2025-08-29,62500.0,64300.0,61900.0,64000.0,1704037
2025-09-01,61200.0,62100.0,59500.0,60600.0,2491823
2025-09-02,59300.0,62200.0,58200.0,61700.0,3661180
2025-09-03,58900.0,60400.0,58600.0,59600.0,1641908
2025-09-04,58500.0,59200.0,57400.0,59000.0,2592577
2025-09-05,58500.0,60000.0,58500.0,60000.0,1536092
2025-09-08,59200.0,60100.0,58600.0,58700.0,1665995
2025-09-09,59600.0,59700.0,59000.0,59700.0,1361280
2025-09-10,59900.0,60800.0,59600.0,60000.0,1665136
2025-09-11,59900.0,60600.0,59700.0,60300.0,1793242
2025-09-12,65500.0,66000.0,60200.0,60500.0,6828797
2025-09-15,64000.0,65000.0,63700.0,65000.0,2370450
2025-09-16,62900.0,64700.0,62600.0,64600.0,2130735
2025-09-17,62500.0,63300.0,62400.0,63000.0,992359
2025-09-18,64700.0,65100.0,62900.0,63200.0,2541491
2025-09-22,66400.0,67600.0,65600.0,67500.0,2276896
2025-09-23,63300.0,66700.0,62600.0,66700.0,4850268
2025-09-24,62800.0,65200.0,62600.0,64600.0,2786106
2025-09-25,63200.0,64000.0,62200.0,62300.0,2815412
2025-09-26,59300.0,62500.0,59100.0,62400.0,4899137
2025-09-29,60300.0,60700.0,58800.0,59400.0,3131452
2025-09-30,59600.0,62000.0,59600.0,62000.0,2019879
2025-10-01,60000.0,61100.0,59800.0,59800.0,1644566
2025-10-02,59900.0,60800.0,59600.0,60400.0,2321148
2025-10-10,62100.0,62100.0,60400.0,60500.0,2984964
2025-10-13,59800.0,60700.0,59600.0,60700.0,2615559
2025-10-14,59600.0,61300.0,59400.0,60300.0,2138963
2025-10-15,59200.0,60200.0,59100.0,59700.0,1659217
2025-10-16,58600.0,59900.0,58200.0,59200.0,2296149
2025-10-17,58000.0,59500.0,57900.0,58600.0,2052888
2025-10-20,58800.0,59000.0,56900.0,58100.0,1646974
2025-10-21,62300.0,63000.0,59000.0,59200.0,6975312
2025-10-22,60900.0,62900.0,60000.0,62800.0,2244634
2025-10-23,59000.0,60300.0,59000.0,60200.0,2234207
2025-10-24,59200.0,59700.0,59000.0,59700.0,1101507
2025-10-27,60900.0,61500.0,59200.0,59500.0,2592815
2025-10-28,63700.0,64300.0,61300.0,61900.0,5224554
2025-10-29,67700.0,69700.0,63100.0,63800.0,11877149
2025-10-30,63500.0,68100.0,63200.0,68000.0,5185767
2025-10-31,65100.0,66300.0,64600.0,64700.0,3412818
2025-11-03,64500.0,66900.0,64000.0,66600.0,3029755
2025-11-04,64200.0,65500.0,63800.0,64700.0,1815606
2025-11-05,62700.0,65600.0,60500.0,64800.0,5643655
2025-11-06,60700.0,64000.0,60200.0,63300.0,4335582
2025-11-07,62800.0,65400.0,60800.0,61600.0,9719245
2025-11-10,62300.0,66400.0,62200.0,63400.0,7999819
2025-11-11,64100.0,66700.0,62500.0,62500.0,12337247
2025-11-12,63800.0,64800.0,63500.0,64700.0,3227242
2025-11-13,63700.0,64200.0,62700.0,63600.0,3253680
2025-11-14,61400.0,63200.0,61000.0,62400.0,3530001
2025-11-17,60700.0,62000.0,60500.0,61700.0,2541985
2025-11-18,57500.0,60900.0,57200.0,60300.0,5810827
2025-11-19,58200.0,58800.0,56600.0,57800.0,2946680
2025-11-20,59100.0,59600.0,58600.0,59200.0,2269237
2025-11-21,58700.0,59300.0,57100.0,57600.0,2528224
2025-11-24,58800.0,59500.0,57600.0,59300.0,2217014
2025-11-25,58000.0,59700.0,57600.0,59600.0,1912277
2025-11-26,61000.0,61000.0,58200.0,58500.0,3312601
2025-11-27,59700.0,61200.0,59700.0,60900.0,1632051
2025-11-28,58700.0,59900.0,58600.0,59900.0,1603848
2025-12-01,59500.0,60300.0,58900.0,58900.0,1811973
2025-12-02,59500.0,59800.0,58800.0,59600.0,1158789
2025-12-03,60600.0,61300.0,59800.0,59800.0,2256089
2025-12-04,60200.0,60500.0,59500.0,60200.0,1262524
2025-12-05,61500.0,61500.0,60000.0,60000.0,2164350
2025-12-08,62000.0,62700.0,61200.0,61700.0,2032027
2025-12-09,60800.0,61800.0,60800.0,61800.0,1385209
2025-12-10,59200.0,60900.0,59200.0,60900.0,2378957
2025-12-11,59200.0,59700.0,58500.0,59500.0,2510659
2025-12-12,59800.0,59800.0,58800.0,59400.0,1252395
2025-12-15,59600.0,60900.0,58500.0,59000.0,1648246
2025-12-16,57900.0,59600.0,57600.0,59100.0,2297669
2025-12-17,57000.0,58300.0,57000.0,58200.0,1746055
2025-12-18,57100.0,57900.0,55500.0,56000.0,1453355
2025-12-19,58200.0,58400.0,57500.0,58000.0,1440858
2025-12-22,58700.0,59300.0,58300.0,58800.0,1454365
2025-12-23,59000.0,59500.0,58300.0,58700.0,1324562
2025-12-24,59800.0,60000.0,58600.0,59300.0,1948824
2025-12-26,58100.0,60000.0,58000.0,59800.0,1880555
2025-12-29,61200.0,61200.0,57600.0,57600.0,3682579
2025-12-30,60100.0,61500.0,60000.0,60900.0,1472867
